实际值,预测值
0.025200000032782555,1.3291981
0.02419999986886978,0.03709922
0.018200000748038292,0.01548581
0.03180000185966492,0.015596953
0.03440000116825104,0.016116971
0.03099999949336052,0.014565295
0.024399999529123306,0.013868649
0.024000000208616257,0.016242169
0.03460000082850456,0.01656639
0.0272000003606081,0.016668178
0.020400000736117363,0.014989929
0.03280000016093254,0.017842492
0.01899999938905239,0.015428496
0.014600000344216824,0.017055059
0.02879999950528145,0.016119631
0.012400000356137753,0.019206354
0.01899999938905239,0.018584779
0.012400000356137753,0.017984977
0.013000000268220901,0.017323667
0.027000000700354576,0.021247674
0.013000000268220901,-0.01849205
0.028999999165534973,0.020371083
0.02459999918937683,0.39333895
0.012400000356137753,1.251001
1.5958000421524048,3.322835
6.900000095367432,7.0153923
13.547800064086914,13.734266
24.229799270629883,20.764923
33.32640075683594,27.15091
46.2138671875,39.60289
60.52153396606445,49.322765
75.81120300292969,60.36114
90.93669891357422,74.125465
99.61299896240234,88.487686
111.30249786376953,99.30566
128.88180541992188,108.53094
143.9156036376953,121.32236
166.60740661621094,138.66399
185.11180114746094,149.72215
197.6840057373047,167.76848
205.44200134277344,176.93457
217.38479614257812,185.16864
222.65139770507812,195.79022
232.30760192871094,207.11014
233.82400512695312,213.28531
239.45440673828125,222.74254
243.79319763183594,224.53172
234.8444061279297,223.90411
236.88980102539062,228.77513
239.59539794921875,221.34203
238.00340270996094,219.63971
238.0655975341797,215.38911
237.65240478515625,214.38974
236.21519470214844,215.52443
232.035400390625,210.72238
221.72360229492188,198.55515
213.4315948486328,188.62773
208.71359252929688,184.71521
197.41160583496094,175.03088
184.55679321289062,170.28427
173.95140075683594,152.6118
44.08580017089844,143.21901
123.98200225830078,129.54799
38.553199768066406,117.400085
20.053800582885742,101.56395
60.89939880371094,87.3384
31.538000106811523,76.24296
16.100200653076172,62.96832
8.33704662322998,47.320732
9.03209400177002,35.74273
5.903341293334961,25.825886
8.01778793334961,17.586391
7.495235443115234,11.550186
