时间点,实际值,预测值
P1,0.0284000001847744,0.58641416
P2,0.012600000016391277,0.032425683
P3,0.012400000356137753,0.017552432
P4,0.020999999716877937,0.017916165
P5,0.012799999676644802,0.018331282
P6,0.022600000724196434,0.016466577
P7,0.014600000344216824,0.016482754
P8,0.020999999716877937,0.018126657
P9,0.012799999676644802,0.016117884
P10,0.012600000016391277,0.019251522
P11,0.014600000344216824,0.01746369
P12,0.021199999377131462,0.018822022
P13,0.013000000268220901,0.01841779
P14,0.020800000056624413,0.018797668
P15,0.022600000724196434,0.01956663
P16,0.014600000344216824,0.01977037
P17,0.022199999541044235,0.018382842
P18,0.020800000056624413,0.020175587
P19,0.0142000000923872,0.019570991
P20,0.012600000016391277,0.022927696
P21,0.020999999716877937,0.023158431
P22,0.020800000056624413,0.13316084
P23,0.019999999552965164,0.77082914
P24,0.012299999594688416,1.8382494
P25,0.04960000142455101,4.0032086
P26,2.840399980545044,6.783256
P27,8.128600120544434,10.782328
P28,16.63279914855957,18.043966
P29,28.095199584960938,23.889793
P30,41.447200775146484,31.679283
P31,55.14179992675781,40.47497
P32,72.78340148925781,48.23762
P33,92.09439849853516,64.02389
P34,112.0645980834961,74.948
P35,128.4976043701172,81.586555
P36,142.99240112304688,94.61691
P37,157.85879516601562,109.3247
P38,174.19119262695312,128.80602
P39,186.25979614257812,135.98766
P40,197.47479248046875,144.30025
P41,206.1909942626953,158.22815
P42,213.3795928955078,164.1757
P43,221.20579528808594,168.37268
P44,225.78660583496094,178.33035
P45,231.91220092773438,182.54637
P46,222.50160217285156,188.07558
P47,236.91299438476562,191.36288
P48,239.50579833984375,192.74596
P49,218.09219360351562,190.14723
P50,231.62399291992188,181.6032
P51,229.4810028076172,182.63246
P52,225.80380249023438,184.91171
P53,230.32235717773438,179.82443
P54,214.2534942626953,184.89954
P55,218.8492431640625,178.2645
P56,210.25140380859375,181.28593
P57,204.4248046875,167.74147
P58,194.76600646972656,164.95863
P59,185.92539978027344,161.38066
P60,173.27520751953125,154.85368
P61,160.4792022705078,140.39095
P62,145.16360473632812,128.10597
P63,130.83419799804688,122.38444
P64,115.5479965209961,110.67693
P65,97.74359893798828,95.08568
P66,79.26799774169922,87.48373
P67,62.41659927368164,72.78832
P68,44.83039855957031,60.949863
P69,30.788400650024414,49.008488
P70,17.67840003967285,36.501736
P71,8.650199890136719,27.718298
P72,3.017400026321411,19.5081
P73,0.042399998754262924,12.32656
P74,0.3294000029563904,7.4153285
P75,0.021199999377131462,4.120417
P76,0.01759999990463257,2.172908
P77,0.014000000432133675,1.1267366
P78,0.012400000356137753,0.80341923
P79,0.012600000016391277,-0.020523224
P80,0.027400000020861626,-0.03009408
P81,0.01979999989271164,-0.094908625
P82,0.020800000056624413,-0.029748049
P83,0.02319999970495701,-0.09425347
P84,0.020999999716877937,-0.017024178
P85,0.029200000688433647,-0.11711398
P86,0.012799999676644802,-0.20086206
P87,0.027799999341368675,-0.12879665
P88,0.020999999716877937,-0.1296405
P89,0.012600000016391277,-0.14327992
P90,0.012799999676644802,-0.1778457
P91,0.01899999938905239,-0.09869009
P92,0.01860000006854534,-0.19977923
P93,0.014600000344216824,-0.14715645
P94,0.0142000000923872,-0.105445825
P95,0.022199999541044235,-0.11396916
P96,0.012600000016391277,-0.017358499
